,words
0,man
1,well
2,well
3,first
4,thank
5,look
6,forward
7,mr
8,president
9,american
10,people
11,right
12,supreme
13,court
14,nominee
15,occur
16,vote
17,unite
18,state
19,senator
20,vote
21,president
22,unite
23,state
24,get
25,chance
26,middle
27,election
28,already
29,election
30,already
31,start
32,ten
33,thousand
34,people
35,already
36,vote
37,happen
38,wait
39,wait
40,outcome
41,election
42,american
43,people
44,get
45,express
46,view
47,elect
48,president
49,elect
50,vice
51,president
52,stake
53,president
54,clear
55,get
56,rid
57,affordable
58,care
59,act
60,run
61,run
62,govern
63,supreme
64,court
65,right
66,try
67,get
68,rid
69,affordable
70,care
71,act
72,strip
73,million
74,people
75,health
76,insurance
77,court
78,justice
79,oppose
80,justice
81,seem
82,like
83,fine
84,person
85,write
86,bench
87,right
88,affordable
89,care
90,act
91,constitutional
92,court
93,strike
94,happen
95,woman
96,right
97,fundamentally
98,change
99,woman
100,could
101,pay
102,money
103,preexist
104,condition
105,pregnancy
106,able
107,charge
108,woman
109,exact
110,procedure
111,man
112,get
113,end
114,fact
115,pas
116,affordable
117,care
118,act
119,hundred
120,million
121,people
122,preexist
123,condition
124,away
125,well
126,preexist
127,condition
128,insurance
129,company
130,love
131,appropriate
132,election
133,win
134,election
135,senate
136,republican
137,forward
138,wait
139,february
140,elect
141,next
142,election
143,simply
144,true
145,open
146,discussion
147,number
148,one
149,propose
150,propose
151,expand
152,obamacare
153,increase
154,wipe
155,one
156,big
157,debate
158,colleague
159,try
160,win
161,nomination
162,biden
163,allow
164,people
165,private
166,insurance
167,still
168,proposal
169,simply
170,lie
171,party
172,right
173,democratic
174,party
175,democratic
176,party
177,right
178,platform
179,democratic
180,party
181,fact
182,approve
183,approve
184,deal
185,deal
186,wipe
187,preexist
188,condition
189,people
190,die
191,watch
192,many
193,survive
194,well
195,seven
196,million
197,people
198,contract
199,covid
200,mean
201,forward
202,strike
203,affordable
204,care
205,act
206,happy
207,talk
208,able
209,shut
210,finish
211,point
212,president
213,also
214,oppose
215,roe
216,v
217,wade
218,ballot
219,well
220,court
221,court
222,also
223,stake
224,right
225,election
226,ballot
227,court
228,court
229,donald
230,would
231,quiet
232,minute
233,right
234,good
235,healthcare
236,do
237,healthcare
238,yes
239,people
240,poor
241,qualify
242,medicaid
243,get
244,free
245,state
246,except
247,governor
248,deny
249,people
250,poor
251,medicaid
252,anyone
253,qualify
254,medicaid
255,would
256,automatically
257,enrol
258,public
259,option
260,vast
261,majority
262,american
263,people
264,would
265,still
266,option
267,number
268,one
269,number
270,two
271,look
272,hey
273,listen
274,fact
275,matter
276,beat
277,bernie
278,sander
279,beat
280,whole
281,hell
282,lot
283,stand
284,face
285,old
286,buddy
287,look
288,deal
289,get
290,lucky
291,get
292,lucky
293,tonight
294,well
295,tonight
296,sure
297,deal
298,deal
299,fact
300,everything
301,far
302,simply
303,lie
304,call
305,lie
306,everybody
307,liar
308,god
309,sure
310,wrong
311,guy
312,wrong
313,night
314,wrong
315,time
316,manifesto
317,number
318,one
319,number
320,two
321,number
322,two
323,tell
324,help
325,people
326,need
327,healthcare
328,fact
329,already
330,cost
331,million
332,people
333,healthcare
334,employer
335,recession
336,number
337,one
338,number
339,two
340,million
341,people
342,get
343,healthcare
344,obamacare
345,away
346,ever
347,look
348,eye
349,away
350,never
351,offer
352,plan
353,plan
354,healthcare
355,send
356,wishful
357,executive
358,order
359,power
360,lower
361,drug
362,cost
363,anybody
364,promise
365,healthcare
366,plan
367,since
368,get
369,elect
370,none
371,like
372,almost
373,everything
374,else
375,talk
376,plan
377,plan
378,fact
379,man
380,talk
381,crosstalk
382,sure
383,whatever
384,position
385,become
386,issue
387,issue
388,american
389,people
390,speak
391,vote
392,vote
393,vote
394,senator
395,strongly
396,feel
397,vote
398,sure
399,fact
400,people
401,senator
402,answer
403,question
404,shut
405,man
406,unpresidential
407,really
408,productive
409,segment
410,keep
411,yap
412,man
413,sure
414,good
415,luck
416,dead
417,seven
418,million
419,infect
420,unite
421,state
422,fact
423,world
424,population
425,death
426,people
427,day
428,contract
429,covid
430,addition
431,people
432,day
433,die
434,present
435,number
436,well
437,president
438,plan
439,lay
440,anything
441,back
442,february
443,serious
444,crisis
445,deadly
446,disease
447,tape
448,acknowledge
449,tell
450,u
451,give
452,people
453,warn
454,panic
455,american
456,people
457,panic
458,panic
459,addition
460,insist
461,people
462,grind
463,china
464,able
465,wuhan
466,determine
467,dangerous
468,even
469,ask
470,xi
471,tell
472,u
473,great
474,job
475,xi
476,owe
477,debt
478,gratitude
479,transparent
480,u
481,nothing
482,wait
483,wait
484,wait
485,still
486,plan
487,lay
488,back
489,march
490,exactly
491,lay
492,july
493,provide
494,protective
495,gear
496,possible
497,provide
498,money
499,house
500,pas
501,order
502,able
503,get
504,people
505,help
506,need
507,keep
508,business
509,open
510,open
511,school
512,cost
513,lot
514,money
515,get
516,bunker
517,get
518,sand
519,trap
520,golf
521,course
522,oval
523,office
524,bring
525,together
526,democrat
527,republican
528,fund
529,need
530,do
531,save
532,live
533,job
534,get
535,job
536,do
537,people
538,die
539,one
540,shut
541,economy
542,economy
543,shut
544,reason
545,shut
546,look
547,folk
548,home
549,many
550,get
551,morning
552,empty
553,chair
554,kitchen
555,table
556,someone
557,die
558,covid
559,many
560,situation
561,lose
562,mom
563,dad
564,even
565,speak
566,nurse
567,hold
568,phone
569,could
570,fact
571,goodbye
572,cdc
573,director
574,could
575,lose
576,many
577,another
578,people
579,end
580,year
581,wear
582,mask
583,save
584,half
585,number
586,mask
587,term
588,whole
589,notion
590,vaccine
591,vaccine
592,trust
593,trust
594,scientist
595,god
596,man
597,tell
598,easter
599,would
600,away
601,warm
602,weather
603,miraculous
604,like
605,miracle
606,maybe
607,could
608,inject
609,bleach
