,words
0,thank
1,much
2,chris
3,tell
4,simply
5,election
6,election
7,consequence
8,senate
9,white
10,house
11,phenomenal
12,nominee
13,respect
14,top
15,top
16,academic
17,good
18,every
19,good
20,every
21,fact
22,biggest
23,endorser
24,liberal
25,people
26,notre
27,dame
28,place
29,fantastic
30,plenty
31,time
32,even
33,election
34,lot
35,time
36,election
37,outstanding
38,good
39,anybody
40,serve
41,court
42,really
43,feel
44,professor
45,notre
46,dame
47,highly
48,respect
49,single
50,greatest
51,student
52,ever
53,professor
54,long
55,time
56,great
57,school
58,election
59,therefore
60,right
61,choose
62,people
63,knowingly
64,would
65,otherwise
66,democrat
67,even
68,difference
69,try
70,faster
71,would
72,give
73,merrick
74,garland
75,problem
76,election
77,stop
78,probably
79,would
80,happen
81,reverse
82,also
83,definitely
84,would
85,happen
86,reverse
87,election
88,right
89,chris
90,thank
91,joe
92,hundred
93,million
94,people
95,preexist
96,condition
97,far
98,concern
99,people
100,already
101,okay
102,justice
103,ginsburg
104,powerfully
105,strongly
106,point
107,year
108,ago
109,president
110,senate
111,elect
112,period
113,time
114,president
115,elect
116,four
117,year
118,elect
119,three
120,year
121,elect
122,three
123,year
124,senate
125,president
126,period
127,time
128,period
129,time
130,open
131,elect
132,three
133,year
134,elect
135,four
136,year
137,joe
138,hundred
139,million
140,people
141,totally
142,wrong
143,get
144,number
145,bigger
146,problem
147,extinguish
148,million
149,people
150,private
151,health
152,care
153,happy
154,well
155,certainly
156,socialist
157,socialist
158,party
159,party
160,party
161,socialist
162,medicine
163,socialist
164,healthcare
165,dominate
166,joe
167,accord
168,harris
169,joe
170,military
171,people
172,die
173,provide
174,proper
175,healthcare
176,military
177,tell
178,would
179,two
180,million
181,people
182,late
183,draw
184,ban
185,china
186,heavily
187,infect
188,ban
189,europe
190,would
191,much
192,later
193,joe
194,much
195,later
196,talk
197,two
198,million
199,people
200,ballot
201,ballot
202,ballot
203,ballot
204,nothing
205,happen
206,view
207,roe
208,v
209,wade
210,view
211,right
212,give
213,good
214,healthcare
215,yes
216,course
217,individual
218,mandate
219,excuse
220,get
221,rid
222,individual
223,mandate
224,big
225,chunk
226,obamacare
227,absolutely
228,big
229,worst
230,part
231,obamacare
232,chris
233,worst
234,part
235,obamacare
236,well
237,ask
238,joe
239,individual
240,mandate
241,unpopular
242,aspect
243,obamacare
244,get
245,rid
246,protect
247,people
248,ahead
249,well
250,first
251,guess
252,debate
253,okay
254,surprise
255,tell
256,something
257,nothing
258,symbolic
259,cut
260,drug
261,price
262,favor
263,nation
264,president
265,courage
266,big
267,pharma
268,drug
269,price
270,come
271,could
272,do
273,year
274,period
275,government
276,nobody
277,do
278,cut
279,healthcare
280,do
281,give
282,example
283,insulin
284,destroy
285,family
286,destroy
287,people
288,cost
289,get
290,cheap
291,like
292,water
293,truth
294,cheap
295,look
296,drug
297,prescription
298,drug
299,price
300,allow
301,governor
302,country
303,buy
304,drug
305,pay
306,tiny
307,fraction
308,big
309,stuff
310,party
311,joe
312,agree
313,bernie
314,sander
315,far
316,leave
317,manifesto
318,call
319,give
320,socialize
321,medicine
322,agree
323,much
324,much
325,pocahontas
326,would
327,leave
328,two
329,day
330,early
331,would
332,lose
333,every
334,primary
335,super
336,tuesday
337,get
338,lucky
339,agree
340,joe
341,liar
342,graduate
343,last
344,class
345,first
346,class
347,surprise
348,surprise
349,ahead
350,joe
351,listen
352,agree
353,bernie
354,sander
355,manifesto
356,lose
357,leave
358,lose
359,leave
360,agree
361,bernie
362,sander
363,plan
364,absolutely
365,agree
366,plan
367,crosstalk
368,call
369,socialize
370,medicine
371,bernie
372,give
373,better
374,healthcare
375,much
376,lower
377,price
378,obamacare
379,good
380,already
381,fix
382,already
383,fix
384,extent
385,obamacare
386,might
387,probably
388,obamacare
389,good
390,obamacare
391,good
392,better
393,choice
394,early
395,away
396,individual
397,mandate
398,guarantee
399,preexist
400,condition
401,away
402,individual
403,mandate
404,listen
405,destroy
406,even
407,call
408,obamacare
409,choice
410,people
411,run
